Result,Opponent,Event Date,Method,R,Time
loss,Raufeon Stots,Dec / 09 / 2022,Decision (Split),5,5:00
win,Leandro Higo,Jun / 24 / 2022,Decision (Unanimous),5,5:00
win,Jornel Lugo,Apr / 22 / 2022,Decision (Unanimous),3,5:00
win,Brett Johns,May / 21 / 2021,Decision (Unanimous),3,5:00
win,Da'Mon Blackshear,Feb / 12 / 2021,Decision (Unanimous),5,5:00
win,Taylor Moore,Nov / 10 / 2020,Decision (Unanimous),3,5:00
win,Raymond Ramos,Jun / 26 / 2020,Submission (Rear-Naked Choke),1,1:56
win,Chris Johnson,May / 29 / 2020,Submission (Arm-Triangle Choke),3,1:54
loss,Irwin Rivera,Dec / 20 / 2019,KO (Punch to the Body),4,4:26
win,Philip Keller,Aug / 23 / 2019,TKO (Punches),1,1:41
win,Earnest Walls,Jul / 19 / 2019,Submission (Rear-Naked Choke),1,1:34
win,Jhon Barragan,Mar / 30 / 2019,KO (Punches),1,2:29
win,Jeremias Fernandez,Feb / 16 / 2019,Decision (Unanimous),3,5:00
win,Cesar Danny Gonzalez,Nov / 17 / 2018,KO (Head Kick),1,0:53
win,Ray Paige,Jul / 21 / 2018,Submission,1,2:55
